,Buttonville A,Hamilton A,Kingsville Moe,North Bay A,Orillia,Oshawa WPCP,Ottawa CDA,Sault St Marie A,Sudbury A,Tillonburg WWTP,Trent U,Wiarton A,Windsor A,Wroxeter
1987-05-17,0.0,0.0,3.8,12.0,0.0,0.0,1.8,6.0,11.8,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-18,0.6000000000000001,7.8,4.8,0.3999999999999999,0.20000000000000018,0.20000000000000018,0.0,8.599999999999998,0.8,9.0,0.0,0.20000000000000018,7.799999999999999,3.2
1987-05-19,0.0,0.5,1.9,0.0,0.0,0.0,0.0,2.2,-4.440892098500626e-16,1.1,0.0,0.20000000000000018,1.8,5.800000000000001
1987-05-20,0.0,0.5999999999999999,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.8000000000000003,0.0,4.440892098500626e-16
1987-05-21,0.0,0.0,0.0,5.2,12.4,3.6,6.4,5.4,1.0,0.0,2.6,14.8,0.0,4.440892098500626e-16
1987-05-22,0.8,9.599999999999998,0.0,12.0,0.6000000000000001,0.20000000000000018,10.7,29.2,18.2,0.0,7.9,2.2,0.0,4.440892098500626e-16
1987-05-23,0.0,0.0,0.0,4.2,0.8000000000000003,0.0,8.6,0.6000000000000001,3.8,0.0,2.0,0.0,0.0,4.440892098500626e-16
1987-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,1.8
1987-05-26,6.6,0.5999999999999999,0.0,13.4,9.0,0.6000000000000001,2.6,7.200000000000001,5.8,0.0,4.7,3.9,8.0,4.440892098500626e-16
1987-05-27,26.0,0.0,0.0,2.6,0.0,13.600000000000001,10.6,1.6,6.0,0.0,0.8999999999999999,2.0,0.0,4.440892098500626e-16
1987-05-28,0.0,5.4,0.0,0.0,0.0,16.0,0.5999999999999999,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-29,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-30,13.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,-4.440892098500626e-16,1.5,4.4,0.0,39.2,4.440892098500626e-16
1987-05-31,0.6000000000000001,0.0,0.0,9.399999999999999,2.2,3.2,2.6,1.0,6.8,0.0,1.6,17.0,0.0,2.4
1987-06-01,12.400000000000002,0.3999999999999999,2.0,0.0,13.2,2.2,0.3999999999999999,0.0,-4.440892098500626e-16,0.0,0.0,0.20000000000000018,27.800000000000004,4.440892098500626e-16
1987-06-02,0.0,1.1,79.99999999999999,0.20000000000000018,0.0,0.0,0.0,5.6,-4.440892098500626e-16,12.4,1.0,16.5,19.6,6.0
1987-06-03,0.20000000000000018,0.20000000000000018,0.0,3.4,0.0,0.0,3.6,0.3999999999999999,13.2,0.0,4.2,14.2,0.0,5.4
